movieId,title,genres,year,clean_title,text
23,Assassins (1995),Action|Crime|Thriller,1995,Assassins,Assassins Action Crime Thriller
24,Powder (1995),Drama|Sci-Fi,1995,Powder,Powder Drama Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance,1995,Leaving Las Vegas,Leaving Las Vegas Drama Romance
26,Othello (1995),Drama,1995,Othello,Othello Drama
27,Now and Then (1995),Children|Drama,1995,Now and Then,Now and Then Children Drama
28,Persuasion (1995),Drama|Romance,1995,Persuasion,Persuasion Drama Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,"City of Lost Children, The (Cité des enfants perdus, La)","City of Lost Children, The (Cité des enfants perdus, La) Adventure Drama Fantasy Mystery Sci-Fi"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,Shanghai Triad (Yao a yao yao dao waipo qiao),Shanghai Triad (Yao a yao yao dao waipo qiao) Crime Drama
31,Dangerous Minds (1995),Drama,1995,Dangerous Minds,Dangerous Minds Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,Twelve Monkeys (a.k.a. 12 Monkeys),Twelve Monkeys (a.k.a. 12 Monkeys) Mystery Sci-Fi Thriller
33,Wings of Courage (1995),Adventure|Romance|IMAX,1995,Wings of Courage,Wings of Courage Adventure Romance IMAX
34,Babe (1995),Children|Drama,1995,Babe,Babe Children Drama
35,Carrington (1995),Drama|Romance,1995,Carrington,Carrington Drama Romance
36,Dead Man Walking (1995),Crime|Drama,1995,Dead Man Walking,Dead Man Walking Crime Drama
37,Across the Sea of Time (1995),Documentary|IMAX,1995,Across the Sea of Time,Across the Sea of Time Documentary IMAX
38,It Takes Two (1995),Children|Comedy,1995,It Takes Two,It Takes Two Children Comedy
39,Clueless (1995),Comedy|Romance,1995,Clueless,Clueless Comedy Romance
40,"Cry, the Beloved Country (1995)",Drama,1995,"Cry, the Beloved Country","Cry, the Beloved Country Drama"
41,Richard III (1995),Drama|War,1995,Richard III,Richard III Drama War
42,Dead Presidents (1995),Action|Crime|Drama,1995,Dead Presidents,Dead Presidents Action Crime Drama
43,Restoration (1995),Drama,1995,Restoration,Restoration Drama
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,Mortal Kombat,Mortal Kombat Action Adventure Fantasy
45,To Die For (1995),Comedy|Drama|Thriller,1995,To Die For,To Die For Comedy Drama Thriller
46,How to Make an American Quilt (1995),Drama|Romance,1995,How to Make an American Quilt,How to Make an American Quilt Drama Romance
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,Seven (a.k.a. Se7en),Seven (a.k.a. Se7en) Mystery Thriller
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,Pocahontas,Pocahontas Animation Children Drama Musical Romance
49,When Night Is Falling (1995),Drama|Romance,1995,When Night Is Falling,When Night Is Falling Drama Romance
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,"Usual Suspects, The","Usual Suspects, The Crime Mystery Thriller"
51,Guardian Angel (1994),Action|Drama|Thriller,1994,Guardian Angel,Guardian Angel Action Drama Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,Mighty Aphrodite,Mighty Aphrodite Comedy Drama Romance
53,Lamerica (1994),Adventure|Drama,1994,Lamerica,Lamerica Adventure Drama
54,"Big Green, The (1995)",Children|Comedy,1995,"Big Green, The","Big Green, The Children Comedy"
55,Georgia (1995),Drama,1995,Georgia,Georgia Drama
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,1995,Kids of the Round Table,Kids of the Round Table Adventure Children Fantasy
57,Home for the Holidays (1995),Drama,1995,Home for the Holidays,Home for the Holidays Drama
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,"Postman, The (Postino, Il)","Postman, The (Postino, Il) Comedy Drama Romance"
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1995,"Confessional, The (Confessionnal, Le)","Confessional, The (Confessionnal, Le) Drama Mystery"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995,"Indian in the Cupboard, The","Indian in the Cupboard, The Adventure Children Fantasy"
61,Eye for an Eye (1996),Drama|Thriller,1996,Eye for an Eye,Eye for an Eye Drama Thriller
62,Mr. Holland's Opus (1995),Drama,1995,Mr. Holland's Opus,Mr. Holland's Opus Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood Comedy Crime
64,Two if by Sea (1996),Comedy|Romance,1996,Two if by Sea,Two if by Sea Comedy Romance
65,Bio-Dome (1996),Comedy,1996,Bio-Dome,Bio-Dome Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace Action Sci-Fi Thriller
67,Two Bits (1995),Drama,1995,Two Bits,Two Bits Drama
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995,French Twist (Gazon maudit),French Twist (Gazon maudit) Comedy Romance
69,Friday (1995),Comedy,1995,Friday,Friday Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996,From Dusk Till Dawn,From Dusk Till Dawn Action Comedy Horror Thriller
71,Fair Game (1995),Action,1995,Fair Game,Fair Game Action
72,Kicking and Screaming (1995),Comedy|Drama,1995,Kicking and Screaming,Kicking and Screaming Comedy Drama
73,"Misérables, Les (1995)",Drama|War,1995,"Misérables, Les","Misérables, Les Drama War"
74,Bed of Roses (1996),Drama|Romance,1996,Bed of Roses,Bed of Roses Drama Romance
75,Big Bully (1996),Comedy|Drama,1996,Big Bully,Big Bully Comedy Drama
76,Screamers (1995),Action|Sci-Fi|Thriller,1995,Screamers,Screamers Action Sci-Fi Thriller
77,Nico Icon (1995),Documentary,1995,Nico Icon,Nico Icon Documentary
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,1995,"Crossing Guard, The","Crossing Guard, The Action Crime Drama Thriller"
79,"Juror, The (1996)",Drama|Thriller,1996,"Juror, The","Juror, The Drama Thriller"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,1995,"White Balloon, The (Badkonake sefid)","White Balloon, The (Badkonake sefid) Children Drama"
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995,Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead Crime Drama Romance
82,Antonia's Line (Antonia) (1995),Comedy|Drama,1995,Antonia's Line (Antonia),Antonia's Line (Antonia) Comedy Drama
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,1995,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored Drama Romance
84,Last Summer in the Hamptons (1995),Comedy|Drama,1995,Last Summer in the Hamptons,Last Summer in the Hamptons Comedy Drama
85,Angels and Insects (1995),Drama|Romance,1995,Angels and Insects,Angels and Insects Drama Romance
86,White Squall (1996),Action|Adventure|Drama,1996,White Squall,White Squall Action Adventure Drama
87,Dunston Checks In (1996),Children|Comedy,1996,Dunston Checks In,Dunston Checks In Children Comedy
88,Black Sheep (1996),Comedy,1996,Black Sheep,Black Sheep Comedy
89,Nick of Time (1995),Action|Thriller,1995,Nick of Time,Nick of Time Action Thriller
90,"Journey of August King, The (1995)",Drama,1995,"Journey of August King, The","Journey of August King, The Drama"
92,Mary Reilly (1996),Drama|Horror|Thriller,1996,Mary Reilly,Mary Reilly Drama Horror Thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995,Vampire in Brooklyn,Vampire in Brooklyn Comedy Horror Romance
94,Beautiful Girls (1996),Comedy|Drama|Romance,1996,Beautiful Girls,Beautiful Girls Comedy Drama Romance
95,Broken Arrow (1996),Action|Adventure|Thriller,1996,Broken Arrow,Broken Arrow Action Adventure Thriller
96,In the Bleak Midwinter (1995),Comedy|Drama,1995,In the Bleak Midwinter,In the Bleak Midwinter Comedy Drama
97,"Hate (Haine, La) (1995)",Crime|Drama,1995,"Hate (Haine, La)","Hate (Haine, La) Crime Drama"
98,Shopping (1994),Action|Thriller,1994,Shopping,Shopping Action Thriller
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,1995,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam Documentary
100,City Hall (1996),Drama|Thriller,1996,City Hall,City Hall Drama Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996,Bottle Rocket,Bottle Rocket Adventure Comedy Crime Romance
102,Mr. Wrong (1996),Comedy,1996,Mr. Wrong,Mr. Wrong Comedy
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,1996,Unforgettable,Unforgettable Mystery Sci-Fi Thriller
104,Happy Gilmore (1996),Comedy,1996,Happy Gilmore,Happy Gilmore Comedy
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995,"Bridges of Madison County, The","Bridges of Madison County, The Drama Romance"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,1994,Nobody Loves Me (Keiner liebt mich),Nobody Loves Me (Keiner liebt mich) Comedy Drama
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996,Muppet Treasure Island,Muppet Treasure Island Adventure Children Comedy Musical
108,Catwalk (1996),Documentary,1996,Catwalk,Catwalk Documentary
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,1995,Headless Body in Topless Bar,Headless Body in Topless Bar Comedy Drama Thriller
110,Braveheart (1995),Action|Drama|War,1995,Braveheart,Braveheart Action Drama War
111,Taxi Driver (1976),Crime|Drama|Thriller,1976,Taxi Driver,Taxi Driver Crime Drama Thriller
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1995,Rumble in the Bronx (Hont faan kui),Rumble in the Bronx (Hont faan kui) Action Adventure Comedy Crime
113,Before and After (1996),Drama|Mystery,1996,Before and After,Before and After Drama Mystery
114,Margaret's Museum (1995),Drama,1995,Margaret's Museum,Margaret's Museum Drama
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,1995,"Happiness Is in the Field (Bonheur est dans le pré, Le)","Happiness Is in the Field (Bonheur est dans le pré, Le) Comedy"
116,Anne Frank Remembered (1995),Documentary,1995,Anne Frank Remembered,Anne Frank Remembered Documentary
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,1995,"Young Poisoner's Handbook, The","Young Poisoner's Handbook, The Crime Drama"
118,If Lucy Fell (1996),Comedy|Romance,1996,If Lucy Fell,If Lucy Fell Comedy Romance
119,"Steal Big, Steal Little (1995)",Comedy,1995,"Steal Big, Steal Little","Steal Big, Steal Little Comedy"
120,Race the Sun (1996),Adventure|Comedy|Drama,1996,Race the Sun,Race the Sun Adventure Comedy Drama
121,"Boys of St. Vincent, The (1992)",Drama,1992,"Boys of St. Vincent, The","Boys of St. Vincent, The Drama"
122,Boomerang (1992),Comedy|Romance,1992,Boomerang,Boomerang Comedy Romance
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,1994,Chungking Express (Chung Hing sam lam),Chungking Express (Chung Hing sam lam) Drama Mystery Romance
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,1995,"Star Maker, The (Uomo delle stelle, L')","Star Maker, The (Uomo delle stelle, L') Drama"
125,Flirting With Disaster (1996),Comedy,1996,Flirting With Disaster,Flirting With Disaster Comedy
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,1994,"NeverEnding Story III, The","NeverEnding Story III, The Adventure Children Fantasy"
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,1994,"Silences of the Palace, The (Saimt el Qusur)","Silences of the Palace, The (Saimt el Qusur) Drama"
128,Jupiter's Wife (1994),Documentary,1994,Jupiter's Wife,Jupiter's Wife Documentary
129,Pie in the Sky (1996),Comedy|Romance,1996,Pie in the Sky,Pie in the Sky Comedy Romance
130,Angela (1995),Drama,1995,Angela,Angela Drama
131,Frankie Starlight (1995),Drama|Romance,1995,Frankie Starlight,Frankie Starlight Drama Romance
132,Jade (1995),Thriller,1995,Jade,Jade Thriller
133,Nueba Yol (1995),Comedy|Drama,1995,Nueba Yol,Nueba Yol Comedy Drama
134,Sonic Outlaws (1995),Documentary,1995,Sonic Outlaws,Sonic Outlaws Documentary
135,Down Periscope (1996),Comedy,1996,Down Periscope,Down Periscope Comedy
136,From the Journals of Jean Seberg (1995),Documentary,1995,From the Journals of Jean Seberg,From the Journals of Jean Seberg Documentary
137,Man of the Year (1995),Documentary,1995,Man of the Year,Man of the Year Documentary
138,"Neon Bible, The (1995)",Drama,1995,"Neon Bible, The","Neon Bible, The Drama"
139,Target (1995),Action|Drama,1995,Target,Target Action Drama
140,Up Close and Personal (1996),Drama|Romance,1996,Up Close and Personal,Up Close and Personal Drama Romance
141,"Birdcage, The (1996)",Comedy,1996,"Birdcage, The","Birdcage, The Comedy"
142,Shadows (Cienie) (1988),Drama,1988,Shadows (Cienie),Shadows (Cienie) Drama
143,Gospa (1995),Drama,1995,Gospa,Gospa Drama
144,"Brothers McMullen, The (1995)",Comedy,1995,"Brothers McMullen, The","Brothers McMullen, The Comedy"
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1995,Bad Boys,Bad Boys Action Comedy Crime Drama Thriller
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,1995,"Amazing Panda Adventure, The","Amazing Panda Adventure, The Adventure Children"
147,"Basketball Diaries, The (1995)",Drama,1995,"Basketball Diaries, The","Basketball Diaries, The Drama"
148,"Awfully Big Adventure, An (1995)",Drama,1995,"Awfully Big Adventure, An","Awfully Big Adventure, An Drama"
149,Amateur (1994),Crime|Drama|Thriller,1994,Amateur,Amateur Crime Drama Thriller
150,Apollo 13 (1995),Adventure|Drama|IMAX,1995,Apollo 13,Apollo 13 Adventure Drama IMAX
151,Rob Roy (1995),Action|Drama|Romance|War,1995,Rob Roy,Rob Roy Action Drama Romance War
152,"Addiction, The (1995)",Drama|Horror,1995,"Addiction, The","Addiction, The Drama Horror"
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995,Batman Forever,Batman Forever Action Adventure Comedy Crime
154,Beauty of the Day (Belle de jour) (1967),Drama,1967,Beauty of the Day (Belle de jour),Beauty of the Day (Belle de jour) Drama
155,Beyond Rangoon (1995),Adventure|Drama|War,1995,Beyond Rangoon,Beyond Rangoon Adventure Drama War
156,Blue in the Face (1995),Comedy|Drama,1995,Blue in the Face,Blue in the Face Comedy Drama
157,Canadian Bacon (1995),Comedy|War,1995,Canadian Bacon,Canadian Bacon Comedy War
158,Casper (1995),Adventure|Children,1995,Casper,Casper Adventure Children
159,Clockers (1995),Crime|Drama|Mystery,1995,Clockers,Clockers Crime Drama Mystery
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995,Congo,Congo Action Adventure Mystery Sci-Fi
161,Crimson Tide (1995),Drama|Thriller|War,1995,Crimson Tide,Crimson Tide Drama Thriller War
162,Crumb (1994),Documentary,1994,Crumb,Crumb Documentary
163,Desperado (1995),Action|Romance|Western,1995,Desperado,Desperado Action Romance Western
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995,Devil in a Blue Dress,Devil in a Blue Dress Crime Film-Noir Mystery Thriller
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1995,Die Hard: With a Vengeance,Die Hard: With a Vengeance Action Crime Thriller
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,1995,"Doom Generation, The","Doom Generation, The Comedy Crime Drama"
167,Feast of July (1995),Drama,1995,Feast of July,Feast of July Drama
168,First Knight (1995),Action|Drama|Romance,1995,First Knight,First Knight Action Drama Romance
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,1995,Free Willy 2: The Adventure Home,Free Willy 2: The Adventure Home Adventure Children Drama
170,Hackers (1995),Action|Adventure|Crime|Thriller,1995,Hackers,Hackers Action Adventure Crime Thriller
171,Jeffrey (1995),Comedy|Drama,1995,Jeffrey,Jeffrey Comedy Drama
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995,Johnny Mnemonic,Johnny Mnemonic Action Sci-Fi Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi,1995,Judge Dredd,Judge Dredd Action Crime Sci-Fi
174,Jury Duty (1995),Comedy,1995,Jury Duty,Jury Duty Comedy
175,Kids (1995),Drama,1995,Kids,Kids Drama
176,Living in Oblivion (1995),Comedy,1995,Living in Oblivion,Living in Oblivion Comedy
177,Lord of Illusions (1995),Horror,1995,Lord of Illusions,Lord of Illusions Horror
178,Love & Human Remains (1993),Comedy|Drama,1993,Love & Human Remains,Love & Human Remains Comedy Drama
179,Mad Love (1995),Drama|Romance,1995,Mad Love,Mad Love Drama Romance
180,Mallrats (1995),Comedy|Romance,1995,Mallrats,Mallrats Comedy Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1995,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie Action Children
182,Moonlight and Valentino (1995),Drama|Romance,1995,Moonlight and Valentino,Moonlight and Valentino Drama Romance
183,Mute Witness (1994),Comedy|Horror|Thriller,1994,Mute Witness,Mute Witness Comedy Horror Thriller
184,Nadja (1994),Drama,1994,Nadja,Nadja Drama
185,"Net, The (1995)",Action|Crime|Thriller,1995,"Net, The","Net, The Action Crime Thriller"
186,Nine Months (1995),Comedy|Romance,1995,Nine Months,Nine Months Comedy Romance
187,Party Girl (1995),Comedy,1995,Party Girl,Party Girl Comedy
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,1995,"Prophecy, The","Prophecy, The Fantasy Horror Mystery"
189,Reckless (1995),Comedy|Fantasy,1995,Reckless,Reckless Comedy Fantasy
190,Safe (1995),Thriller,1995,Safe,Safe Thriller
191,"Scarlet Letter, The (1995)",Drama|Romance,1995,"Scarlet Letter, The","Scarlet Letter, The Drama Romance"
192,"Show, The (1995)",Documentary,1995,"Show, The","Show, The Documentary"
193,Showgirls (1995),Drama,1995,Showgirls,Showgirls Drama
194,Smoke (1995),Comedy|Drama,1995,Smoke,Smoke Comedy Drama
195,Something to Talk About (1995),Comedy|Drama|Romance,1995,Something to Talk About,Something to Talk About Comedy Drama Romance
196,Species (1995),Horror|Sci-Fi,1995,Species,Species Horror Sci-Fi
197,"Stars Fell on Henrietta, The (1995)",Drama,1995,"Stars Fell on Henrietta, The","Stars Fell on Henrietta, The Drama"
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,Strange Days,Strange Days Action Crime Drama Mystery Sci-Fi Thriller
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,1964,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) Drama Musical Romance"
200,"Tie That Binds, The (1995)",Thriller,1995,"Tie That Binds, The","Tie That Binds, The Thriller"
201,Three Wishes (1995),Drama|Fantasy,1995,Three Wishes,Three Wishes Drama Fantasy
202,Total Eclipse (1995),Drama|Romance,1995,Total Eclipse,Total Eclipse Drama Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar Comedy"
204,Under Siege 2: Dark Territory (1995),Action,1995,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory Action
205,Unstrung Heroes (1995),Comedy|Drama,1995,Unstrung Heroes,Unstrung Heroes Comedy Drama
206,Unzipped (1995),Documentary,1995,Unzipped,Unzipped Documentary
207,"Walk in the Clouds, A (1995)",Drama|Romance,1995,"Walk in the Clouds, A","Walk in the Clouds, A Drama Romance"
208,Waterworld (1995),Action|Adventure|Sci-Fi,1995,Waterworld,Waterworld Action Adventure Sci-Fi
209,White Man's Burden (1995),Drama,1995,White Man's Burden,White Man's Burden Drama
210,Wild Bill (1995),Western,1995,Wild Bill,Wild Bill Western
211,"Browning Version, The (1994)",Drama,1994,"Browning Version, The","Browning Version, The Drama"
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,1995,Bushwhacked,Bushwhacked Adventure Comedy Crime Mystery
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,1994,Burnt by the Sun (Utomlyonnye solntsem),Burnt by the Sun (Utomlyonnye solntsem) Drama
214,Before the Rain (Pred dozhdot) (1994),Drama|War,1994,Before the Rain (Pred dozhdot),Before the Rain (Pred dozhdot) Drama War
215,Before Sunrise (1995),Drama|Romance,1995,Before Sunrise,Before Sunrise Drama Romance
216,Billy Madison (1995),Comedy,1995,Billy Madison,Billy Madison Comedy
217,"Babysitter, The (1995)",Drama|Thriller,1995,"Babysitter, The","Babysitter, The Drama Thriller"
218,Boys on the Side (1995),Comedy|Drama,1995,Boys on the Side,Boys on the Side Comedy Drama
219,"Cure, The (1995)",Drama,1995,"Cure, The","Cure, The Drama"
220,Castle Freak (1995),Horror,1995,Castle Freak,Castle Freak Horror
222,Circle of Friends (1995),Drama|Romance,1995,Circle of Friends,Circle of Friends Drama Romance
223,Clerks (1994),Comedy,1994,Clerks,Clerks Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995,Don Juan DeMarco,Don Juan DeMarco Comedy Drama Romance
225,Disclosure (1994),Drama|Thriller,1994,Disclosure,Disclosure Drama Thriller
226,Dream Man (1995),Thriller,1995,Dream Man,Dream Man Thriller
227,Drop Zone (1994),Action|Thriller,1994,Drop Zone,Drop Zone Action Thriller
228,Destiny Turns on the Radio (1995),Comedy,1995,Destiny Turns on the Radio,Destiny Turns on the Radio Comedy
229,Death and the Maiden (1994),Drama|Thriller,1994,Death and the Maiden,Death and the Maiden Drama Thriller
230,Dolores Claiborne (1995),Drama|Thriller,1995,Dolores Claiborne,Dolores Claiborne Drama Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,1994,Dumb & Dumber (Dumb and Dumber),Dumb & Dumber (Dumb and Dumber) Adventure Comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,1994,Eat Drink Man Woman (Yin shi nan nu),Eat Drink Man Woman (Yin shi nan nu) Comedy Drama Romance
233,Exotica (1994),Drama,1994,Exotica,Exotica Drama
234,Exit to Eden (1994),Comedy,1994,Exit to Eden,Exit to Eden Comedy
235,Ed Wood (1994),Comedy|Drama,1994,Ed Wood,Ed Wood Comedy Drama
236,French Kiss (1995),Action|Comedy|Romance,1995,French Kiss,French Kiss Action Comedy Romance
237,Forget Paris (1995),Comedy|Romance,1995,Forget Paris,Forget Paris Comedy Romance
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,1995,Far From Home: The Adventures of Yellow Dog,Far From Home: The Adventures of Yellow Dog Adventure Children
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,1995,"Goofy Movie, A","Goofy Movie, A Animation Children Comedy Romance"
240,Hideaway (1995),Thriller,1995,Hideaway,Hideaway Thriller
241,Fluke (1995),Children|Drama,1995,Fluke,Fluke Children Drama
242,Farinelli: il castrato (1994),Drama|Musical,1994,Farinelli: il castrato,Farinelli: il castrato Drama Musical
243,Gordy (1995),Children|Comedy|Fantasy,1995,Gordy,Gordy Children Comedy Fantasy
244,Gumby: The Movie (1995),Animation|Children,1995,Gumby: The Movie,Gumby: The Movie Animation Children
245,"Glass Shield, The (1994)",Crime|Drama,1994,"Glass Shield, The","Glass Shield, The Crime Drama"
246,Hoop Dreams (1994),Documentary,1994,Hoop Dreams,Hoop Dreams Documentary
247,Heavenly Creatures (1994),Crime|Drama,1994,Heavenly Creatures,Heavenly Creatures Crime Drama
248,Houseguest (1994),Comedy,1994,Houseguest,Houseguest Comedy
249,Immortal Beloved (1994),Drama|Romance,1994,Immortal Beloved,Immortal Beloved Drama Romance
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,1995,Heavyweights (Heavy Weights),Heavyweights (Heavy Weights) Children Comedy
251,"Hunted, The (1995)",Action,1995,"Hunted, The","Hunted, The Action"
252,I.Q. (1994),Comedy|Romance,1994,I.Q.,I.Q. Comedy Romance
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,1994,Interview with the Vampire: The Vampire Chronicles,Interview with the Vampire: The Vampire Chronicles Drama Horror
254,Jefferson in Paris (1995),Drama,1995,Jefferson in Paris,Jefferson in Paris Drama
255,"Jerky Boys, The (1995)",Comedy,1995,"Jerky Boys, The","Jerky Boys, The Comedy"
256,Junior (1994),Comedy|Sci-Fi,1994,Junior,Junior Comedy Sci-Fi
257,Just Cause (1995),Mystery|Thriller,1995,Just Cause,Just Cause Mystery Thriller
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,1995,"Kid in King Arthur's Court, A","Kid in King Arthur's Court, A Adventure Children Comedy Fantasy Romance"
259,Kiss of Death (1995),Crime|Drama|Thriller,1995,Kiss of Death,Kiss of Death Crime Drama Thriller
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,1977,Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope Action Adventure Sci-Fi
261,Little Women (1994),Drama,1994,Little Women,Little Women Drama
262,"Little Princess, A (1995)",Children|Drama,1995,"Little Princess, A","Little Princess, A Children Drama"
